COUNTRY,Year,School age population (thousands),% urban,% primary,% secondary,national_basic,national_limited,national_no,PRIMARY_basic,PRIMARY_limited,PRIMARY_no,SECONDARY_basic,SECONDARY_limited,SECONDARY_no,WHO Region,UNICEF Programme Region,UNICEF Reporting Regions,SDG region
Cameroon,2018.0,9457,56.0,42.0,41.0,37.0,22.0,39.0,37.0,16.0,46.0,71.16756756756757,16.292857142857144,20.82051282051282,1,5,2,Sub-Saharan Africa
Cameroon,2019.0,9700,56.0,42.0,41.0,37.0,27.0,35.0,37.0,19.0,43.0,71.16756756756757,16.292857142857144,20.82051282051282,1,5,2,Sub-Saharan Africa
Cameroon,2021.0,9917,58.0,42.0,41.0,37.0,27.0,35.0,37.0,19.0,43.0,71.16756756756757,16.292857142857144,20.82051282051282,1,5,2,Sub-Saharan Africa
Central African Republic,2016.0,2015,40.0,39.0,39.0,15.0,7.0,76.0,15.0,4.0,79.0,71.16756756756757,16.292857142857144,57.0,1,5,2,Sub-Saharan Africa
Central African Republic,2017.0,2034,40.0,39.0,39.0,15.0,7.0,76.0,15.0,3.0,80.0,71.16756756756757,16.292857142857144,57.0,1,5,2,Sub-Saharan Africa
Central African Republic,2018.0,2058,41.0,39.0,39.0,15.0,7.0,76.0,15.0,3.0,80.0,71.16756756756757,16.292857142857144,57.0,1,5,2,Sub-Saharan Africa
Central African Republic,2019.0,2085,41.0,39.0,40.0,15.0,7.0,76.0,15.0,2.0,81.0,71.16756756756757,16.292857142857144,57.0,1,5,2,Sub-Saharan Africa
Central African Republic,2021.0,2163,42.0,38.0,40.0,15.0,7.0,76.0,15.0,2.0,81.0,71.16756756756757,16.292857142857144,57.0,1,5,2,Sub-Saharan Africa
Chad,2016.0,6396,22.0,39.0,37.0,22.0,7.0,69.0,20.0,4.0,75.0,71.16756756756757,16.292857142857144,50.0,1,5,2,Sub-Saharan Africa
Chad,2017.0,6589,22.0,39.0,37.0,27.0,6.0,66.0,25.0,2.0,72.0,71.16756756756757,16.292857142857144,50.0,1,5,2,Sub-Saharan Africa
Chad,2018.0,6780,23.0,39.0,37.0,31.0,5.0,62.0,30.0,14.201149425287356,69.0,71.16756756756757,16.292857142857144,50.0,1,5,2,Sub-Saharan Africa
Chad,2019.0,6968,23.0,39.0,37.0,35.0,1.0,62.0,30.0,14.201149425287356,69.0,71.16756756756757,16.292857142857144,50.0,1,5,2,Sub-Saharan Africa
Chad,2021.0,7345,23.0,39.0,37.0,37.0,15.381578947368421,62.0,30.0,14.201149425287356,69.0,71.16756756756757,16.292857142857144,50.0,1,5,2,Sub-Saharan Africa
Chile,2016.0,3734,87.0,39.0,40.0,61.92619926199262,15.381578947368421,3.0,60.497835497835496,14.201149425287356,3.0,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Chile,2017.0,3740,87.0,39.0,39.0,61.92619926199262,15.381578947368421,3.0,60.497835497835496,14.201149425287356,3.0,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Chile,2018.0,3748,87.0,40.0,39.0,61.92619926199262,15.381578947368421,3.0,60.497835497835496,14.201149425287356,3.0,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Chile,2019.0,3748,87.0,40.0,39.0,61.92619926199262,15.381578947368421,3.0,60.497835497835496,14.201149425287356,3.0,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Chile,2021.0,3770,87.0,40.0,39.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
China,2016.0,253505,56.0,39.0,40.0,61.92619926199262,15.381578947368421,1.0,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,5,6,5,Eastern and South-Eastern Asia
China,2017.0,253250,57.0,39.0,39.0,61.92619926199262,15.381578947368421,1.0,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,5,6,5,Eastern and South-Eastern Asia
China,2018.0,253342,59.0,40.0,39.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,5,6,5,Eastern and South-Eastern Asia
China,2019.0,253717,60.0,40.0,39.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,5,6,5,Eastern and South-Eastern Asia
China,2021.0,254343,62.0,40.0,39.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,5,6,5,Eastern and South-Eastern Asia
Colombia,2016.0,11058,80.0,34.0,45.0,55.0,18.0,25.0,60.497835497835496,14.201149425287356,26.0,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Colombia,2017.0,10987,80.0,34.0,45.0,61.92619926199262,15.381578947368421,25.0,60.497835497835496,14.201149425287356,26.0,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Colombia,2018.0,10918,80.0,34.0,45.0,61.92619926199262,15.381578947368421,25.0,60.497835497835496,14.201149425287356,26.0,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Colombia,2019.0,10825,81.0,34.0,44.0,61.92619926199262,15.381578947368421,25.0,60.497835497835496,14.201149425287356,26.0,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Colombia,2021.0,10611,81.0,34.0,44.0,61.92619926199262,15.381578947368421,24.920265780730897,60.497835497835496,14.201149425287356,28.326612903225808,71.16756756756757,16.292857142857144,20.82051282051282,2,3,3,Latin America and the Caribbean
Comoros,2016.0,305,28.0,39.0,38.0,61.92619926199262,15.381578947368421,88.0,60.497835497835496,14.201149425287356,89.0,71.16756756756757,16.292857142857144,87.0,1,2,2,Sub-Saharan Africa
